Coluna,Média,Moda,Mediana,25% Quartil,50% Quartil,75% Quartil,Mínimo,Máximo,Variância,Desvio Padrão
all,5.632374100719424,3.6,5.2,4.1,5.2,7.15,3.6,8.9,2.7561182358461056,1.6601560877959955
16-24,11.638129496402877,8.6,10.9,8.8,10.9,14.3,7.8,17.1,8.992231258471485,2.9987049302109545
25-54,4.8611510791366905,3.1,4.5,3.5,4.5,6.15,3.0,7.9,2.2228276509227403,1.490915038130188
55-64,4.166187050359713,2.7,3.8,3.0,3.8,5.35,2.4,7.3,1.8195005734542797,1.3488886438302754
65+,4.482733812949641,3.3,4.0,3.3,4.0,5.45,2.7,8.0,1.7889750808049214,1.3375257308945205
less_than_hs,11.18273381294964,8.1,10.4,8.3,10.4,13.350000000000001,7.0,17.7,9.858975080804921,3.13990048899721
high_school,7.142446043165468,4.7,6.7,5.4,6.7,8.9,4.6,11.0,3.880286727140027,1.9698443408401658
some_college,5.533812949640288,3.7,5.1,3.95,5.1,7.05,3.4,9.5,2.997616515483266,1.7313626181373059
bachelor's_degree,3.5467625899280577,2.5,3.1,2.6,3.1,4.4,2.4,6.4,1.1072901678657074,1.0522785600142708
advanced_degree,2.50431654676259,2.0,2.3,2.0,2.3,3.1,1.7,4.1,0.3876623918256699,0.6226254024898679
women,5.542446043165468,3.6,5.1,4.05,5.1,6.95,3.5,9.0,2.673040350328433,1.6349435312353857
women_16-24,10.591366906474821,7.7,9.9,7.8,9.9,13.350000000000001,7.1,15.6,8.071953915128768,2.8411184268046217
women_25-54,4.924460431654676,3.1,4.5,3.6,4.5,6.15,3.1,8.0,2.184614742988218,1.4780442290365394
women_55-64,4.058992805755396,2.7,3.7,2.9,3.7,5.1,2.3,7.7,1.8086685434261287,1.3448674817342148
women_65+,4.599280575539568,3.3,4.1,3.4,4.1,5.3,2.7,8.9,2.1452893337503913,1.4646806251706859
women_less_than_hs,12.24748201438849,8.5,11.6,8.9,11.6,14.75,7.5,18.9,11.851497236993012,3.4426003597561268
women_high_school,7.058273381294964,6.7,6.7,5.5,6.7,8.6,4.6,11.6,3.459550620373266,1.8599867258594256
women_some_college,5.598561151079136,3.9,5.1,4.05,5.1,7.0,3.4,9.9,3.1211573350015644,1.766679748851377
women_bachelor's_degree,3.6424460431654673,2.4,3.2,2.6,3.2,4.45,2.4,7.0,1.3239099155458243,1.1506128434646574
women_advanced_degree,2.6071942446043166,2.3,2.3,2.1,2.3,3.25,1.6,4.2,0.47212178083620066,0.6871111852067325
men,5.700719424460432,3.8,5.2,4.2,5.2,7.2,3.6,9.2,2.8400719424460434,1.6852512994939488
men_16-24,12.645323741007195,9.4,11.7,9.8,11.7,15.149999999999999,8.5,18.6,10.05988739443228,3.1717325540518515
men_25-54,4.805035971223022,3.1,4.4,3.45,4.4,6.15,3.0,8.1,2.263959962464811,1.5046461253280823
men_55-64,4.2683453237410065,3.2,3.9,3.1,3.9,5.45,2.4,7.0,1.9118892711917421,1.3827108414964215
men_65+,4.389208633093524,3.2,3.9,3.3,3.9,5.5,2.7,7.3,1.5935783547075382,1.262370133798934
men_less_than_hs,10.506474820143886,9.5,9.6,8.0,9.6,12.45,6.7,16.9,8.799885309143988,2.9664600636354415
men_high_school,7.207194244604317,4.7,6.7,5.3,6.7,9.1,4.7,11.6,4.3606725054738815,2.08822233142783
men_some_college,5.469784172661871,3.5,5.1,3.9,5.1,7.15,3.3,9.1,2.912123866124492,1.706494613564453
men_bachelor's_degree,3.4589928057553956,2.5,3.0,2.6,3.0,4.4,2.3,5.8,0.9377989782087376,0.9684002159276596
men_advanced_degree,2.407913669064748,2.0,2.2,1.9,2.2,2.8,1.7,4.0,0.34087894901470134,0.5838483955743146
black,9.596402877697843,6.5,9.1,7.05,9.1,11.75,5.8,15.7,8.230204358252529,2.868833274739494
black_16-24,18.969064748201436,13.4,17.6,14.5,17.6,23.4,12.2,28.7,27.332007089980188,5.228002208299093
black_25-54,8.292086330935252,5.1,8.0,6.05,8.0,10.25,5.0,14.1,6.369719528724846,2.523830328830535
black_55-64,6.087769784172662,4.9,5.6,4.5,5.6,7.85,3.1,9.6,3.6961536857470554,1.9225383444152826
black_65+,6.677697841726618,4.4,6.4,4.9,6.4,8.3,3.8,10.9,3.6707308935460325,1.9159151582327523
black_less_than_hs,20.923741007194245,15.6,20.0,15.9,20.0,24.9,12.0,31.7,33.20457720779898,5.762341295671316
black_high_school,11.937410071942447,8.3,11.7,9.25,11.7,14.649999999999999,7.6,18.2,9.405836721926805,3.066893660029119
black_some_college,8.547482014388489,5.7,7.8,6.1,7.8,10.9,4.8,14.2,7.18265665728287,2.6800478833936663
black_bachelor's_degree,5.065467625899282,4.1,4.5,3.7,4.5,6.5,3.1,7.9,2.0927119174225837,1.4466208616712894
